City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,edinburgh of the seven seas,-37.0676,-12.3116,14.15,83,8,9.89,SH,1699838360
1,whitehorse,60.7161,-135.0538,-2.57,80,100,3.6,CA,1699838360
2,iqaluit,63.7506,-68.5145,-17.95,77,20,2.57,CA,1699838281
3,bamyan,34.75,67.25,-2.68,50,0,0.5,AF,1699838360
4,grytviken,-54.2811,-36.5092,3.02,90,100,1.87,GS,1699838360
5,punta arenas,-53.15,-70.9167,10.06,62,75,9.26,CL,1699838360
6,adamstown,-25.066,-130.1015,22.8,85,100,8.14,PN,1699838361
7,jamestown,42.097,-79.2353,2.8,72,0,2.57,US,1699838262
8,puerto natales,-51.7236,-72.4875,5.52,87,100,1.74,CL,1699838361
9,tazovsky,67.4667,78.7,-11.21,95,51,5.61,RU,1699838348
10,swan hill,-35.3378,143.5544,22.45,23,5,4.66,AU,1699838361
11,port elizabeth,-33.918,25.5701,15.16,78,0,4.63,ZA,1699838325
12,bilibino,68.0546,166.4372,-13.28,96,100,2.22,RU,1699838361
13,chernyshevskiy,63.0128,112.4714,-17.75,99,100,1.47,RU,1699838361
14,kattivakkam,13.2167,80.3167,26.15,86,100,5.83,IN,1699838362
15,olonkinbyen,70.9221,-8.7187,-3.33,67,100,2.37,SJ,1699838151
16,kourou,5.1552,-52.6478,26.68,85,5,4.16,GF,1699838332
17,dili,-8.5586,125.5736,29.84,61,5,3.15,TL,1699838362
18,ust-nera,64.5667,143.2,-23.48,99,100,1.16,RU,1699838362
19,sitka,57.0531,-135.33,4.94,75,0,1.54,US,1699838299
20,bethel,41.3712,-73.414,1.94,71,0,0.0,US,1699838278
21,yellowknife,62.456,-114.3525,-6.99,95,75,8.49,CA,1699838287
22,papatowai,-46.5619,169.4708,12.66,96,100,2.17,NZ,1699838362
23,uturoa,-16.7333,-151.4333,27.71,76,23,3.0,PF,1699838363
24,kapiri mposhi,-13.9652,28.6809,18.15,91,100,2.43,ZM,1699838363
25,naze,28.3667,129.4833,19.51,65,82,8.94,JP,1699838363
26,chibougamau,49.9168,-74.3659,-6.21,93,100,2.57,CA,1699838363
27,newport,51.5877,-2.9984,12.06,91,100,4.28,GB,1699838363
28,kapa'a,22.0752,-159.319,28.99,78,40,8.75,US,1699838363
29,remire-montjoly,4.9167,-52.2667,27.39,82,2,5.44,GF,1699838364
30,anadyr,64.75,177.4833,-1.72,100,75,7.0,RU,1699838327
31,blackmans bay,-43.0167,147.3167,19.18,44,4,0.89,AU,1699838280
32,trapani,37.8333,12.6667,20.05,68,0,6.69,IT,1699838364
33,port-aux-francais,-49.35,70.2167,4.47,78,100,4.04,TF,1699838274
34,okha,53.5739,142.9478,-3.97,89,100,6.57,RU,1699838364
35,tabas,33.5959,56.9244,15.96,33,51,0.73,IR,1699838364
36,alaghsas,17.0187,8.0168,23.38,17,0,4.7,NE,1699838365
37,al qusayr,34.5091,36.5798,16.85,48,0,1.35,SY,1699838365
38,bredasdorp,-34.5322,20.0403,12.88,88,39,0.27,ZA,1699838152
39,tiksi,71.6872,128.8694,-16.75,90,99,6.5,RU,1699838365
40,ushuaia,-54.8,-68.3,9.81,57,75,4.12,AR,1699838221
41,mahbubnagar,16.7333,77.9833,20.08,82,98,2.76,IN,1699838343
42,candido mendes,-1.4467,-45.7167,25.37,81,4,2.42,BR,1699838365
43,waitangi,-43.9535,-176.5597,12.61,88,100,8.61,NZ,1699838143
44,conde,-7.2597,-34.9075,24.7,78,0,2.06,BR,1699838145
45,port mathurin,-19.6833,63.4167,25.24,78,0,2.09,MU,1699838287
46,stanley,54.868,-1.6985,6.51,95,75,2.06,GB,1699838366
47,longyearbyen,78.2186,15.6401,-5.09,80,75,9.77,SJ,1699838294
48,perros-guirec,48.8145,-3.4396,15.83,91,100,1.79,FR,1699838366
49,qaqortoq,60.7167,-46.0333,-8.1,89,24,0.57,GL,1699838274
50,vadso,70.0744,29.7487,-5.91,93,20,6.69,NO,1699838366
51,maralal,1.0968,36.698,14.9,94,91,2.27,KE,1699838366
52,avarua,-21.2078,-159.775,24.03,60,20,3.09,CK,1699838332
53,tamanrasset,22.785,5.5228,17.95,15,0,2.06,DZ,1699838367
54,tura,25.5198,90.2201,18.25,83,0,1.54,IN,1699838352
55,ribeira grande,38.5167,-28.7,17.65,90,100,0.89,PT,1699838367
56,salinopolis,-0.6136,-47.3561,26.55,80,4,4.69,BR,1699838367
57,berezovyy,51.6667,135.7,-7.59,54,59,0.31,RU,1699838367
58,amos,48.5669,-78.1162,-5.48,92,12,3.07,CA,1699838367
59,kavieng,-2.5744,150.7967,28.68,67,100,1.16,PG,1699838314
60,nar'yan-mar,67.6713,53.087,-11.61,94,52,2.24,RU,1699838368
61,las lomitas,-24.7096,-60.593,33.67,40,97,2.85,AR,1699838368
62,hawaiian paradise park,19.5933,-154.9731,26.73,89,75,2.57,US,1699838156
63,afaahiti,-17.75,-149.2833,28.93,80,58,4.61,PF,1699838289
64,bereznik,62.8551,42.7072,-1.79,84,100,5.41,RU,1699838368
65,santa lucia,27.9117,-15.5407,16.62,83,0,6.17,ES,1699838368
